casename,run,wbf_mult,inp_mult
manualhetrfrzoslo_inp10,1.0,1.0,10.0
hetrfrzoslo_inp0.1,1.0,1.0,0.1
hetrfrzoslo_func_inp0.1,1.0,1.0,0.1
verbose_inp1,1.0,1.0,1.0
hetrfrzoslo_dummies_inp10,1.0,1.0,10.0
jolt_wbf_1_inp_1000,1.0,1.0,1000.0
jolt_wbf_1_inp_0,1.0,1.0,0.0
cttest15_wbf_1_inp_1,1.0,1.0,1.0
entraintest_1_1,1.0,1.0,1.0
nudgetest_1_1,1.0,1.0,1.0
nudge_wbf_1_inp_1000,1.0,1.0,1000.0
nudgetest_wbf_1_inp_1000,1.0,1.0,1000.0
nudge_wbf_1_inp_0,1.0,1.0,0.0
nudged_no_sed_1_1,1.0,1.0,1.0
nofreezingrain_1_1,1.0,1.0,1.0
midtempfreezingrain_1_1,1.0,1.0,1.0
frzrtvarsm1_wbf_1_inp_1,1.0,1.0,1.0
frzrtvarsm15_wbf_1_inp_100,1.0,1.0,100.0
frzrtvarsm15_wbf_1_inp_1,1.0,1.0,1.0
altINPm1_wbf_1_inp_1,1.0,1.0,1.0
altINPm1_wbf_1_inp_100,1.0,1.0,100.0
noice_wbf_1_inp_0,1.0,1.0,0.0
nimaxmod_wbf_1_inp_1,1.0,1.0,1.0
nimaxmod_wbf_1_inp_100,1.0,1.0,100.0
inpcheck_wbf_1_inp_10,1.0,1.0,10.0
wbfcheck_wbf_0.1_inp_1,1.0,0.1,1.0
icenucmod_wbf_1_inp_1,1.0,1.0,1.0
icenucmod2_wbf_1_inp_1,1.0,1.0,1.0
icenucmod_wbf_1_inp_10,1.0,1.0,10.0
continuetestnudged_wbf_1_inp_1,1.0,1.0,1.0
nimaxmpconly_wbf_1_inp_1,1.0,1.0,1.0
nimaxmpconly_wbf_1_inp_100,1.0,1.0,100.0
cam61_wbf_1_inp_1,1.0,1.0,1.0
continuetestnonudge_wbf_1_inp_1,1.0,1.0,1.0
cam61_wbf_0.1_inp_1,1.0,0.1,1.0
cam61_wbf_1_inp_0.1,1.0,1.0,0.1
cam61_wbf_0.01_inp_1,1.0,0.01,1.0
cam61_wbf_1_inp_0.01,1.0,1.0,0.01
cam61_wbf_0.01_inp_0.01,1.0,0.01,0.01
cam61_wbf_0.1_inp_0.1,1.0,0.1,0.1
cam61arctic_wbf_1_inp_1,1.0,1.0,1.0
cam61arctic_wbf_0.1_inp_0.01,1.0,0.1,0.01
cam61arctic2_wbf_1_inp_1,1.0,1.0,1.0
forøyvind_wbf_1_inp_1,1.0,1.0,1.0
cam61arctic2m15_wbf_1_inp_1,1.0,1.0,1.0
cam6_fit_wbf_0.3_inp_100,1.0,0.3,100.0
cam61_arctic2_wbf_0.1_inp_0.01,1.0,0.1,0.01
nudgeformattest_wbf_1_inp_1,1.0,1.0,1.0
advancednudge2_wbf_1_inp_1,1.0,1.0,1.0
noresm2satcomp_wbf_1_inp_1,1.0,1.0,1.0
cam61_arctic2_wbf_0.3_inp_0.01,1.0,0.3,0.01
cam61_arctic2_wbf_0.1_inp_0.05,1.0,0.1,0.05
noresm2satcomp_wbf_1_inp_1,1.0,1.0,1.0
noresm2tests_wbf_0.1_inp_1,1.0,0.1,1.0
noresm2tests_wbf_1_inp_10,1.0,1.0,10.0
noresm2tests_wbf_0.05_inp_1,1.0,0.05,1.0
cospmimic_ownundef,1.0,1.0,1.0
cam61_arctic2_wbf_0.5_inp_1.0,1.0,0.5,1.0
cam61_arctic2_wbf_1.0_inp_0.1,1.0,1.0,0.1
cam61_arctic2_wbf_0.5_inp_0.1,1.0,0.5,0.1
cam61_arctic2_wbf_1.0_inp_0.05,1.0,1.0,0.05
noresm2tests_wbf_0.005_inp_1,1.0,0.005,1.0
noresm2tests_wbf_0.01_inp_0.5,1.0,0.01,0.5
cospmimic_camhist,1.0,1.0,1.0
cospmimic_cldisooff,1.0,1.0,1.0
cospmimic_cosponly,1.0,1.0,1.0
cospmimic_manualvar,1.0,1.0,1.0
cospmimic_parasite,1.0,1.0,1.0
cam61_arctic2_wbf_0.2_inp_1.0,1.0,0.2,1.0
cam61_arctic2_wbf_0.2_inp_0.2,1.0,0.2,0.2
cospmimic_parasite2,1.0,1.0,1.0
cospmimic_crmparasite,1.0,1.0,1.0
cospmimic_subcolparasite,1.0,1.0,1.0
cosp_reduced,1.0,1.0,1.0
cosp_cuzonly,1.0,1.0,1.0
cosp_cuzonly2,1.0,1.0,1.0
cam61_arctic2_wbf_0.2_inp_0.3,1.0,0.2,0.3
noresm2satcomp_wbf_1_inp_1,1.0,1.0,1.0
noresm2satcompvertcoord_wbf_1_inp_1,1.0,1.0,1.0
noresm2satcompvertcoord2_wbf_1_inp_1,1.0,1.0,1.0
slfisosauto_wbf_1_inp_1,1.0,1.0,1.0
slfisosauto2_wbf_1_inp_1,1.0,1.0,1.0
slfisosauto3_wbf_1_inp_1,1.0,1.0,1.0
cospcost_wbf_1_inp_1,1.0,1.0,1.0
metdataoutput_wbf_1_inp_1,1.0,1.0,1.0
metdatanorlx_wbf_1_inp_1,1.0,1.0,1.0
fouryearprecheck_wbf_1_inp_1,1.0,1.0,1.0
